League,Season,Club,Player,Position,Points,Bonus_Points,Start_Price,End_Price
La Liga,2015-16,Atlético,Jan Oblak,GK,187,19,5.0,5.8
La Liga,2019-20,Real Madrid,Sergio Ramos,DEF,205,18,6.5,7.2
La Liga,2016-17,Atlético,Filipe Luis,DEF,190,25,5.5,6.2
La Liga,2017-18,Barcelona,Jordi Alba,DEF,186,30,6.0,6.5
La Liga,2019-20,Sevilla,Jesús Navas,DEF,170,21,5.5,5.8
La Liga,2014-15,Rayo Vallecano,Alberto Bueno,MID,196,26,8.0,8.4
La Liga,2020-21,Atlético,Marcos Llorente,MID,196,26,5.5,6.6
La Liga,2018-19,Sevilla,Pablo Sarabia,MID,187,26,7.0,7.5
La Liga,2014-15,Real Madrid,Cristiano Ronaldo,FWD,372,71,11.5,12.9
La Liga,2014-15,Barcelona,Lionel Messi,FWD,362,65,11.5,12.9
La Liga,2015-16,Barcelona,Luis Suárez,FWD,322,50,11.0,12.4
Total,-,-,-,-,2573,377,83.0,92.2
